@RELATION rfTemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Normal,Slurred}

@DATA
0.091361,0.016029,2.947114,0.212018,0.236828,0.578916,0.012041,0.096891,-27.852552,2.127654,0.373930,0.168963,0.232108,0.006614,-0.075851,0.048459,-0.018944,0.134948,-0.083374,0.127747,-0.107667,0.016684,0.002004,0.021317,0.007950,0.042965,0.003998,0.117301,0.000887,0.003064,0.022823,0.043109,0.002795,0.046214,0.032338,0.016420,0.373542,0.040656,0.033347,0.341181,0.010201,0.060619,2.117039,0.643498,0.752479,0.439769,0.288794,0.376983,0.181283,0.205906,0.188310,0.185586,0.241361,0.179488,0.224709,0.026562,0.003452,0.025429,0.009108,0.027602,0.007189,0.077275,0.001510,0.004010,0.025939,0.029720,0.004302,0.016354,Normal
0.072637,0.016437,2.931905,0.189190,0.220557,0.605357,0.014422,0.097511,-26.841112,2.251369,0.207028,0.254368,0.103089,0.093884,-0.193095,0.066413,-0.022325,0.125260,-0.082742,0.147081,-0.116931,0.013880,0.003287,0.030646,0.007857,0.026608,0.003382,0.094779,0.001795,0.007801,0.025092,0.034024,0.005637,0.036504,0.022661,0.018432,0.398846,0.035119,0.035571,0.429282,0.009392,0.066486,2.321167,0.665171,0.881719,0.603455,0.309139,0.460759,0.253111,0.194006,0.199876,0.187042,0.219201,0.192477,0.221890,0.017217,0.005086,0.029551,0.008544,0.023464,0.003943,0.086541,0.003218,0.009637,0.021497,0.024606,0.009292,0.020197,Normal
0.098707,0.059761,2.982363,0.259358,0.275210,0.591328,0.002859,0.071667,-23.123118,1.544037,0.188175,0.381138,0.600573,0.294062,0.001077,0.114614,-0.002380,0.129085,0.165278,0.226144,0.134490,0.002027,0.000236,0.021635,0.006828,0.069907,0.000653,0.238561,0.000245,0.000399,0.001523,0.014363,0.000415,0.066836,0.027731,0.011775,0.109810,0.010449,0.003231,0.098803,0.001469,0.023653,0.113951,0.112381,0.094927,0.110042,0.105689,0.097361,0.106487,0.094478,0.089301,0.083668,0.104496,0.098157,0.101534,0.000960,0.000168,0.017053,0.003476,0.017248,0.000531,0.040460,0.000134,0.000256,0.000712,0.008468,0.000185,0.009887,Normal
0.053661,0.028882,2.949004,0.162647,0.211058,0.419868,0.018184,0.067979,-25.851772,2.579187,0.212032,0.389562,0.212710,0.183812,0.038377,0.056309,0.047695,0.113991,-0.099013,0.031944,-0.168447,0.024874,0.002191,0.038266,0.008417,0.024553,0.005091,0.121534,0.002192,0.005413,0.016529,0.040867,0.006862,0.043956,0.023738,0.028586,0.289280,0.027731,0.034942,0.348519,0.012031,0.049148,2.292464,0.509268,0.857773,0.478250,0.336995,0.419323,0.249086,0.267444,0.222162,0.205387,0.246880,0.204214,0.227883,0.029096,0.002558,0.029693,0.011490,0.023617,0.007956,0.095885,0.003934,0.007914,0.014356,0.028264,0.012455,0.021243,Normal
0.114522,0.005897,2.949115,0.251275,0.261804,0.706034,0.004111,0.103386,-29.253456,1.615173,0.098714,0.476027,0.398867,0.268505,0.121989,0.115859,0.020144,0.014533,0.050059,0.073221,0.037481,0.007078,0.000711,0.017158,0.010872,0.064134,0.002358,0.194089,0.000842,0.002056,0.004818,0.020165,0.000895,0.056603,0.031891,0.011433,0.191069,0.025405,0.018713,0.200331,0.003050,0.046265,1.352258,0.304624,0.246917,0.182161,0.277708,0.185008,0.129308,0.144192,0.140109,0.177349,0.121419,0.124279,0.154838,0.010276,0.000857,0.012583,0.005924,0.021357,0.003816,0.056373,0.001625,0.003647,0.005204,0.016984,0.000861,0.012971,Normal
0.110687,0.006563,2.928072,0.251354,0.259887,0.766436,0.003837,0.109514,-28.266036,1.572231,-0.022434,0.500645,0.374356,0.230952,0.184515,0.065849,0.029604,0.024647,0.137079,0.096191,0.121987,0.003352,0.000628,0.022758,0.010601,0.064985,0.001767,0.194990,0.001320,0.003310,0.004287,0.015312,0.001002,0.055946,0.024682,0.011434,0.239129,0.026807,0.023744,0.233410,0.002671,0.047659,1.346308,0.295993,0.319277,0.236893,0.305686,0.168514,0.161540,0.167015,0.125000,0.128346,0.137650,0.157056,0.140837,0.004366,0.000685,0.016539,0.006116,0.021627,0.001782,0.061634,0.001810,0.007812,0.004211,0.010755,0.001104,0.014717,Normal
0.104234,0.001724,2.948752,0.257699,0.266391,0.723049,0.003103,0.093396,-30.418329,1.431594,0.025183,0.508730,0.515981,0.177193,0.104301,0.126235,0.042634,0.021105,0.145845,0.170540,0.145115,0.003795,0.001163,0.017872,0.010117,0.068164,0.001048,0.219311,0.000524,0.001186,0.002636,0.011398,0.001322,0.062164,0.027711,0.003662,0.145977,0.018083,0.016871,0.183190,0.001929,0.040621,1.187021,0.203777,0.267362,0.226277,0.190107,0.134984,0.186130,0.162064,0.111673,0.105758,0.135404,0.142331,0.164762,0.006986,0.002653,0.015983,0.004187,0.019607,0.001091,0.050246,0.000557,0.001767,0.001948,0.005807,0.002262,0.012112,Normal
0.128015,0.002282,2.971027,0.269254,0.268496,0.817563,0.003803,0.130967,-30.347976,1.455865,0.019925,0.501250,0.464182,0.195602,0.145257,0.038636,-0.004328,0.057289,0.155406,0.136570,0.138007,0.002407,0.000577,0.016607,0.009630,0.066085,0.001382,0.204460,0.001087,0.003167,0.002599,0.013345,0.001190,0.057846,0.045388,0.005449,0.148910,0.035065,0.020589,0.322950,0.003803,0.101004,1.617712,0.257809,0.300190,0.193492,0.300781,0.176954,0.128157,0.178217,0.141822,0.128403,0.140151,0.151713,0.119726,0.003620,0.000903,0.014695,0.003820,0.022614,0.002327,0.066075,0.001755,0.006788,0.001964,0.011661,0.001574,0.017129,Normal
0.145973,0.005486,3.003475,0.278683,0.270770,0.791595,0.003547,0.135394,-28.106542,1.497564,0.152320,0.418826,0.517147,0.210437,0.129682,0.080105,-0.001096,0.011157,0.130684,0.110459,0.112777,0.003532,0.000543,0.014305,0.012702,0.069537,0.001189,0.205807,0.000459,0.001042,0.002782,0.012789,0.000947,0.058932,0.070213,0.012642,0.085948,0.044484,0.012880,0.299599,0.003013,0.103189,0.811903,0.304981,0.148803,0.191114,0.204305,0.154300,0.121127,0.137406,0.112835,0.118003,0.125804,0.124184,0.141896,0.007033,0.000679,0.016256,0.011261,0.018185,0.001504,0.050655,0.000471,0.001038,0.003747,0.010852,0.001827,0.012074,Normal
0.119026,0.009046,3.001989,0.254663,0.263067,0.735987,0.003965,0.116397,-28.382776,1.609573,0.075003,0.544634,0.442629,0.136680,0.167690,0.074889,-0.024803,0.008954,0.062782,0.064596,0.102495,0.013818,0.000484,0.018807,0.010614,0.061417,0.002218,0.193406,0.001060,0.000974,0.003794,0.021451,0.001028,0.058540,0.043728,0.013470,0.221280,0.035268,0.021581,0.246867,0.004166,0.078775,1.296830,0.385695,0.262244,0.269549,0.230024,0.147547,0.135822,0.160844,0.140094,0.135038,0.152395,0.168018,0.128298,0.026186,0.000469,0.012437,0.005746,0.019574,0.004263,0.065494,0.002143,0.001356,0.004286,0.025371,0.001343,0.012481,Normal
